hospital_name,emergency_category,phone,road_address,lot_address,postal_code,latitude,longitude,coordinate_source,matched_address,municipality_code,routing_status,hira_hospital_name,hira_encrypted_care_symbol,hira_institution_type,capacity_snapshot_period,emergency_room_beds,critical_care_beds,inpatient_beds,registered_emergency_institution,registered_adult_icu,ct_units,mri_units,capacity_match_method,capacity_match_score,capacity_match_review_required,capacity_source,capacity_semantics,egen_institution_code,egen_evaluation_year,egen_overall_grade,egen_mandatory_area_result,egen_match_review_required,egen_evaluation_source
경기도의료원 수원병원,지역응급의료기관,888-0114,경기도 수원시 장안구 수성로245번길 69,경기도 수원시 장안구 정자동 886-9번지,16316,37.2923486000,126.9968103000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 장안구 수성로245번길 69,41110,pending_kakao_api,경기도의료원 수원병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjODEjJDEjJDIjJDgz,종합병원,2026-06,13,9,156,True,True,1,1,exact_normalized_name,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100032,2024,A,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
동수원병원,지역응급의료센터,210-0114,경기도 수원시 팔달구 중부대로 165,경기도 수원시 팔달구 우만동 157-7번지,16494,37.2781610000,127.0343321000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 팔달구 중부대로 165,41110,pending_kakao_api,의료법인 녹산의료재단동수원병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,종합병원,2026-06,20,23,393,True,True,2,2,fuzzy_name_address,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100009,2024,B,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
명인의료재단 화홍병원,지역응급의료센터,278-0119,경기도 수원시 권선구 호매실로90번길 98,경기도 수원시 권선구 호매실동 1396-1번지,16630,37.2601327000,126.9639256000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 권선구 호매실로90번길 98,41110,pending_kakao_api,의료법인 명인의료재단 화홍병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz,종합병원,2026-06,20,30,258,True,True,2,2,fuzzy_name_address,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2117135,2024,B,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
성빈센트병원,지역응급의료센터,1577-8588,경기도 수원시 팔달구 중부대로 93,경기도 수원시 팔달구 지동 93-6번지,16247,37.2778994000,127.0274529000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 팔달구 중부대로 93,41110,pending_kakao_api,가톨릭대학교 성빈센트병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,상급종합,2026-06,45,91,795,True,True,6,4,fuzzy_name_address,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100012,2024,A,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
수원윌스기념병원,지역응급의료기관,223-2233,경기도 수원시 팔달구 경수대로 437,경기도 수원시 팔달구 인계동 994-3번지,16480,37.2653173000,127.0255465000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 팔달구 경수대로 437,41110,pending_kakao_api,의료법인 토마스의료재단 윌스기념병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,종합병원,2026-06,21,19,297,True,True,3,4,fuzzy_name_address,0.8625,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100175,2024,B,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
아주대학교병원,권역응급의료센터,1688-6114,경기도 수원시 영통구 월드컵로 164,경기도 수원시 영통구 원천동 산26-6번지,16499,37.2793432000,127.0463045000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 영통구 월드컵로 164,41110,pending_kakao_api,아주대학교병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,상급종합,2026-06,52,160,1091,True,True,9,6,exact_normalized_name,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100002,2024,A,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
의료법인덕산의료재단 수원덕산병원,지역응급의료기관,868-2119,경기도 수원시 권선구 서부로 1674(고색동),경기도 수원시 권선구 고색동 894-119,16623,37.2586298000,126.9745029000,official_gyeonggi_emergency_medical_institutions,경기도 수원시 권선구 서부로 1674(고색동),41110,pending_kakao_api,의료법인 덕산의료재단 수원덕산병원,JDU4MTI3MSM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDQjJDgz,종합병원,2026-06,30,27,438,True,True,3,2,exact_normalized_name,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100019,2024,B,PASS,True,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
