municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at,pair_set
41110,41110::ambulance_base::005,41110::hospital::003,18.1,1086,8379,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:17.140944+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::005,41110::hospital::004,17.016666666666666,1021,7625,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:17.489575+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::005,41110::hospital::005,19.75,1185,8894,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:17.932867+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::005,41110::hospital::006,18.3,1098,12694,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:18.317339+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::005,41110::hospital::007,13.85,831,7518,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:18.662172+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::001,15.666666666666666,940,7320,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:19.009625+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::002,22.816666666666666,1369,7302,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:19.420604+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::003,6.0,360,1834,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:19.723486+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::004,19.783333333333335,1187,6596,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:20.125189+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::005,18.533333333333335,1112,6012,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:20.479971+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::006,29.866666666666667,1792,9797,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:21.149122+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::006,41110::hospital::007,1.8,108,799,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:21.464490+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::001,19.5,1170,8839,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:21.908611+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::002,11.483333333333333,689,3364,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:22.218933+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::003,19.433333333333334,1166,7181,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:22.573518+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::004,12.533333333333333,752,3891,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:22.909037+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::005,9.25,555,2407,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:23.227049+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::006,13.633333333333333,818,3502,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:23.560765+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::007,41110::hospital::007,16.533333333333335,992,6149,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:23.941462+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::001,14.433333333333334,866,4442,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:24.279393+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::002,13.833333333333334,830,2915,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:24.591761+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::003,12.633333333333333,758,5205,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:24.941241+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::004,10.8,648,2209,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:25.241213+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::005,9.566666666666666,574,2466,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:25.555523+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::006,20.183333333333334,1211,5542,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:25.906708+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::008,41110::hospital::007,9.85,591,4173,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:26.244946+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::001,10.383333333333333,623,4416,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:26.560522+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::002,20.816666666666666,1249,5403,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:26.917170+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::003,9.683333333333334,581,3992,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:27.247205+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::004,17.766666666666666,1066,4697,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:27.600504+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::005,16.716666666666665,1003,4113,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:27.943127+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::006,26.116666666666667,1567,9044,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:28.349930+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::009,41110::hospital::007,6.633333333333334,398,2960,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:28.672931+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::001,13.316666666666666,799,3696,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:29.010516+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::002,7.45,447,2251,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:29.305873+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::003,24.133333333333333,1448,9707,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:29.734672+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::004,6.516666666666667,391,2103,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:30.043177+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::005,9.583333333333334,575,3372,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:30.359479+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::006,15.733333333333333,944,4485,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:30.693746+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::010,41110::hospital::007,21.266666666666666,1276,8675,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:31.100099+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::001,15.016666666666667,901,4984,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:31.422058+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::002,27.35,1641,9083,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:31.887730+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::003,7.95,477,2496,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:32.202655+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::004,27.033333333333335,1622,8116,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:32.630183+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::005,25.266666666666666,1516,8430,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:33.086417+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::006,36.266666666666666,2176,12215,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:33.592624+00:00,unknown_before_pair_set_column
41110,41110::ambulance_base::011,41110::hospital::007,9.3,558,3222,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:33.916867+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::001,30.883333333333333,1853,12368,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:34.382247+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::002,21.083333333333332,1265,6567,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:34.758791+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::003,22.183333333333334,1331,6925,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:35.148626+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::004,3.433333333333333,206,693,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:35.461641+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::005,12.133333333333333,728,3754,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:35.797609+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::006,18.4,1104,7578,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:36.142060+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::007,21.8,1308,9341,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:36.519617+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::008,14.95,897,4308,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:36.977312+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::009,11.85,711,3750,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:37.445799+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::010,16.283333333333335,977,5037,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:37.854024+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::ambulance_base::011,15.033333333333333,902,5145,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:38.263071+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::hospital::002,15.6,936,4829,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:38.673570+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::hospital::003,17.116666666666667,1027,6521,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:39.081965+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::hospital::004,14.75,885,4681,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:39.412042+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::hospital::005,17.383333333333333,1043,5950,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:39.776338+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::hospital::006,23.883333333333333,1433,7063,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:40.167672+00:00,unknown_before_pair_set_column
41110,41110::hospital::001,41110::hospital::007,14.35,861,6717,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:40.505253+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::001,23.016666666666666,1381,5472,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:40.917119+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::002,6.966666666666667,418,1964,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:41.225983+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::003,9.5,570,3471,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:41.533729+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::004,14.95,897,4949,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:41.882394+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::005,18.216666666666665,1093,7056,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:42.257189+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::006,22.516666666666666,1351,8447,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:42.648262+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::007,11.033333333333333,662,3878,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:42.978066+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::008,10.05,603,2561,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:43.280811+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::009,18.566666666666666,1114,4339,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:43.640506+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::010,2.783333333333333,167,1032,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:43.942068+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::ambulance_base::011,26.383333333333333,1583,10055,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:44.406930+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::hospital::001,15.566666666666666,934,4730,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:44.758537+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::hospital::003,22.166666666666668,1330,8098,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:45.189322+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::hospital::004,1.9333333333333333,116,678,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:45.479940+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::hospital::005,6.733333333333333,404,1920,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:45.777768+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::hospital::006,9.65,579,2460,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:46.082111+00:00,unknown_before_pair_set_column
41110,41110::hospital::002,41110::hospital::007,19.316666666666666,1159,7066,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:46.477696+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::001,27.716666666666665,1663,11124,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:46.923480+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::002,28.0,1680,9900,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:47.347511+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::003,30.333333333333332,1820,11169,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:47.801198+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::004,17.533333333333335,1052,7640,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:48.138953+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::005,14.733333333333333,884,7512,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:48.497676+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::006,5.883333333333334,353,2775,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:48.795929+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::007,18.583333333333332,1115,8097,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:49.152209+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::008,14.816666666666666,889,5431,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:49.476428+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::009,10.616666666666667,637,4268,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:49.785071+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::010,22.416666666666668,1345,8734,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:50.171653+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::ambulance_base::011,11.416666666666666,685,2482,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:50.513150+00:00,unknown_before_pair_set_column
