IDX_525,ALL_TOT,IDX_507,APPN_DE,IDX_519,IDX_530,AREA_CD,IDX_513,ASORT_SE_CD,EVL_ID,FRGLTYPAPR_AT,IDX_709,IDX_719,IDX_739,IDX_715,INSTT_CD,PASS_FAIL,INSTT_NM,IDX_494,IDX_743
(해당없음),B,2,2023-01-01,1,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),1,3,A2100038,PASS,인제대학교일산백병원,2,1
(해당없음),A,2,2023-01-01,1,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),2,1,A2100039,PASS,한양대학교구리병원,1,1
(해당없음),A,(해당없음),2023-01-01,1,(해당없음),경기,1,권역응급의료센터,54,N,1,(해당없음),3,2,A2100040,PASS,가톨릭대학교의정부성모병원,1,1
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),2,1,A2100041,PASS,남양주한양병원,1,3
(해당없음),B,(해당없음),2023-01-01,2,(해당없음),경기,1,권역응급의료센터,54,N,1,(해당없음),1,1,A2100042,PASS,의료법인명지의료재단명지병원,1,3
(해당없음),C,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100043,FAIL,경기도의료원의정부병원,(해당없음),(해당없음)
(해당없음),A,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100045,PASS,경기도의료원안성병원,(해당없음),(해당없음)
(해당없음),A,2,2023-01-01,1,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),1,1,A2100046,PASS,한림대학교동탄성심병원,1,1
(해당없음),A,2,2023-01-01,1,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),1,1,A2100047,PASS,동국대학교일산불교병원,1,2
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),2,1,A2100048,PASS,원광대학교산본병원,1,4
(해당없음),C,1,2023-01-01,1,(해당없음),경기,3,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100049,FAIL,국립암센터,(해당없음),(해당없음)
(해당없음),B,2,2023-01-01,3,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100050,PASS,의료법인대인의료재단다니엘종합병원,(해당없음),(해당없음)
(해당없음),A,3,2023-01-01,1,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),1,1,A2100052,PASS,가톨릭대학교부천성모병원,1,1
(해당없음),A,2,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100053,PASS,의료법인우리의료재단김포우리병원,1,2
(해당없음),B,1,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100054,PASS,효산의료재단지샘병원,1,3
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100055,PASS,부천세종병원,1,3
(해당없음),C,5,2023-01-01,5,(해당없음),경기,5,지역응급의료기관,54,Y,(해당없음),(해당없음),(해당없음),(해당없음),A2100089,PASS,양평병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,2,(해당없음),경기,3,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100122,PASS,(의)효심의료재단용인서울병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,3,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100124,PASS,의료법인칠석의료재단사랑의병원,(해당없음),(해당없음)
(해당없음),B,2,2023-01-01,3,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100131,PASS,메디인병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,2,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100150,PASS,추병원,(해당없음),(해당없음)
(해당없음),A,2,2023-01-01,3,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),2,1,A2100155,PASS,참조은병원,1,2
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100175,PASS,의료법인토마스의료재단윌스기념병원,(해당없음),(해당없음)
(해당없음),B,2,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),4,1,A2100193,PASS,경기도의료원이천병원,1,3
(해당없음),B,2,2023-01-01,5,(해당없음),경기,2,지역응급의료기관,54,Y,(해당없음),(해당없음),(해당없음),(해당없음),A2100194,PASS,세종여주병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100258,PASS,국군수도병원,(해당없음),(해당없음)
(해당없음),A,1,2023-01-01,2,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100305,PASS,안성성모병원,(해당없음),(해당없음)
(해당없음),C,1,2023-01-01,2,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100309,FAIL,의료법인갈렌의료재단박병원,(해당없음),(해당없음)
(해당없음),C,2,2023-01-01,3,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2113246,FAIL,의료법인양진의료재단평택성모병원,1,3
(해당없음),C,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2115699,FAIL,의료법인원광의료재단원광종합병원,(해당없음),(해당없음)
(해당없음),B,2,2023-01-01,3,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2116761,PASS,화성디에스병원,(해당없음),(해당없음)
(해당없음),C,2,2023-07-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),2,1,A2116806,FAIL,성남시의료원,1,4
(해당없음),C,4,2023-01-01,2,(해당없음),경기,3,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2116972,FAIL,의료법인성광의료재단일산차병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,3,A2117135,PASS,의료법인명인의료재단화홍병원,1,3
(해당없음),A,3,2023-01-01,1,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),1,1,A2117994,PASS,학교법인을지학원의정부을지대학교병원,1,2
(해당없음),A,1,2023-01-01,2,(해당없음),경기,1,지역응급의료기관,54,Y,(해당없음),(해당없음),(해당없음),(해당없음),A2118188,PASS,엘병원,(해당없음),(해당없음)
(해당없음),A,1,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2118788,PASS,중앙대학교광명병원,1,2
(해당없음),C,1,2023-07-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2119056,FAIL,명주병원,1,3
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,Y,(해당없음),(해당없음),(해당없음),(해당없음),E2100187,PASS,연천군보건의료원,(해당없음),(해당없음)
