municipality_code,staged_hospital_name,staged_road_address,hira_hospital_name,hira_address,encrypted_care_symbol,institution_type,snapshot_period,capacity_semantics,match_method,match_score,match_review_required,일반입원실상급병상수,일반입원실일반병상수,성인중환자병상수,소아중환자병상수,신생아중환자병상수,분만실병상수,수술실병상수,응급실병상수,정신과폐쇄상급병상수,정신과폐쇄일반병상수,정신과개방상급병상수,정신과개방일반병상수,격리병실병상수,무균치료실병상수,critical_care_beds_total,inpatient_beds_total_from_reported_fields,registered_special_services,registered_emergency_institution,registered_adult_icu,registered_pediatric_icu,registered_neonatal_icu,registered_tavi,registered_ventricular_assist_device,ct_units,mri_units,pet_units
41150,가톨릭대의정부성모병원,경기도 의정부시 천보로 271,가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,0.954167,False,18,568,76,0,15,1,15,59,0,0,2,18,2,0,91,699,1형 당뇨병 환자 재택의료 시범기관 | HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 개방병원 | 경피적 대동맥판삽입 실시기관 | 복막투석 환자 재택관리 시범기관 | 성인 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 암환자 재택의료 시범기관 | 암환자(요루) 재택의료 시범기관 | 응급의료기관 | 인공와우 실시기관 | 입원형 호스피스전문기관 | 차세대염기서열분석 기반 유전자 패널검사 실시기관,True,True,False,True,True,False,5,3,1
41150,경기도의료원 의정부병원,경기도 의정부시 흥선로 142,경기도의료원의정부병원,"경기도 의정부시 흥선로 142, (의정부동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,0,114,6,0,0,0,3,11,0,70,0,8,5,0,6,203,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 보훈위탁진료요양기관 | 성인 중환자실 | 외국인 근로자 등 의료지원 사업시행 의료기관 | 응급의료기관 | 일차의료 방문진료 수가 시범기관 | 입원형 호스피스전문기관 | 장애인 치과 주치의 시범기관 | 측두하악관절자극요법 실시기관,True,True,False,False,False,False,1,1,0
41150,의정부백병원,경기도 의정부시 금신로 322,의료법인 영동의료재단 의정부백병원,"경기도 의정부시 금신로 322, (신곡동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,4,188,9,0,0,0,3,10,0,0,0,0,0,0,9,201,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 성인 중환자실 | 응급의료기관 | 측두하악관절자극요법 실시기관,True,True,False,False,False,False,1,1,0
41150,의정부을지대학교병원,경기도 의정부시 동일로 712,학교법인 을지학원 의정부을지대학교병원,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,31,596,76,0,5,16,14,48,2,20,0,0,6,4,81,740,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 경피적 대동맥판삽입 실시기관 | 복막투석 환자 재택관리 시범기관 | 선천성 악안면 기형의 치과교정 및 악정형 치료 실시기관 | 성인 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 신속대응시스템 시범기관 | 응급의료기관 | 인공와우 실시기관,True,True,False,True,True,False,6,3,1
41150,추병원,경기도 의정부시 평화로 650,추병원,"경기도 의정부시 평화로 650, (의정부동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE0ODEjODEjJDEjJDIjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,2,208,15,0,0,1,3,14,0,0,0,0,0,0,15,225,간호간병통합서비스 제공기관 | 성인 중환자실 | 응급의료기관,True,True,False,False,False,False,1,1,0
41170,안양샘병원,경기도 안양시 만안구 삼덕로 9,효산의료재단 안양샘병원,"경기도 안양시 만안구 삼덕로 9, (안양동, 안양샘병원)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,17,286,19,0,0,1,6,20,0,0,0,0,3,0,19,325,HPV 국가예방접종사업 참여기관 | 가정형 호스피스전문기관 | 간호간병통합서비스 제공기관 | 보훈위탁진료요양기관 | 성인 중환자실 | 외국인 근로자 등 의료지원 사업시행 의료기관 | 응급의료기관 | 입원형 호스피스전문기관 | 자문형 호스피스전문기관 | 첩약 건강보험 적용 2단계 시범사업,True,True,False,False,False,False,2,1,1
41170,한림대성심병원,경기도 안양시 동안구 관평로170번길 22,한림대학교성심병원,"경기도 안양시 동안구 관평로170번길 22, (평촌동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,상급종합,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,0.93125,False,10,660,92,0,12,2,18,44,0,20,0,0,14,2,104,810,(정신질환)병원기반 시범기관 | 1형 당뇨병 환자 재택의료 시범기관 | HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 결핵환자 재택의료 시범기관 | 경피적 대동맥판삽입 실시기관 | 복막투석 환자 재택관리 시범기관 | 비대면진료 시범사업 진료기관(의료기관) | 상급종합병원 심층진찰 시범기관 | 선천성 악안면 기형의 치과교정 및 악정형 치료 실시기관 | 성인 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 심실 보조장치 치료술 실시기관(이식형) | 심장질환자 재택의료 시범기관 | 암환자(요루) 재택의료 시범기관 | 응급의료기관 | 인공와우 실시기관 | 재활환자 재택의료 시범기관 | 제3차의료급여기관 | 조혈모세포이식 실시기관 | 차세대염기서열분석 기반 유전자 패널검사 실시기관 | 측두하악관절자극요법 실시기관,True,True,False,True,True,True,5,3,1
41190,가톨릭대부천성모병원,경기도 부천시 원미구 소사로 327,가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,0.95,False,29,532,50,0,10,5,14,37,0,0,0,0,4,0,60,625,1형 당뇨병 환자 재택의료 시범기관 | HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 가정형 호스피스전문기관 | 간호간병통합서비스 제공기관 | 결핵환자 재택의료 시범기관 | 복막투석 환자 재택관리 시범기관 | 성인 중환자실 | 신생아 중환자실 | 응급의료기관 | 인공와우 실시기관 | 입원형 호스피스전문기관 | 차세대염기서열분석 기반 유전자 패널검사 실시기관,True,True,False,True,False,False,4,3,1
41190,다니엘종합병원,경기도 부천시 원미구 중동로 361,의료법인대인의료재단 다니엘종합병원,"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNjEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,16,153,31,0,0,0,3,10,0,0,0,0,0,0,31,200,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 개방병원 | 성인 중환자실 | 응급의료기관 | 장애인 건강 주치의 시범기관(전체),True,True,False,False,False,False,1,1,0
41190,부천세종병원,경기도 부천시 소사구 호현로489번길 28,부천세종병원,"경기도 부천시 소사구 호현로489번길 28, (소사본동, 세종병원)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,8,264,24,0,0,1,6,20,0,0,0,0,4,0,24,300,1형 당뇨병 환자 재택의료 시범기관 | HPV 국가예방접종사업 참여기관 | 간호간병통합서비스 제공기관 | 경피적 대동맥판삽입 실시기관 | 경피적 좌심방이 폐색술 실시기관 | 성인 중환자실 | 신속대응시스템 시범기관 | 심실 보조장치 치료술 실시기관(체외형&이식형) | 심장질환자 재택의료 시범기관 | 응급의료기관,True,True,False,False,True,True,2,1,0
