municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at
41310,41310::ambulance_base::001,41310::candidate::public_health_41310_001,9.75,585,2287,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:37.027195+00:00
41310,41310::ambulance_base::001,41310::candidate::public_health_41310_002,6.766666666666667,406,1776,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:37.340638+00:00
41310,41310::ambulance_base::001,41310::candidate::public_health_41310_003,14.866666666666667,892,6498,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:37.691514+00:00
41310,41310::ambulance_base::001,41310::hospital::001,5.9,354,1222,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:37.997925+00:00
41310,41310::ambulance_base::002,41310::candidate::public_health_41310_001,7.716666666666667,463,2490,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:38.338120+00:00
41310,41310::ambulance_base::002,41310::candidate::public_health_41310_002,7.5,450,1792,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:38.655201+00:00
41310,41310::ambulance_base::002,41310::candidate::public_health_41310_003,16.45,987,6981,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:39.014017+00:00
41310,41310::ambulance_base::002,41310::hospital::001,8.883333333333333,533,1863,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:39.328635+00:00
41310,41310::ambulance_base::003,41310::candidate::public_health_41310_001,0.9333333333333333,56,307,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:39.629407+00:00
41310,41310::ambulance_base::003,41310::candidate::public_health_41310_002,8.083333333333334,485,1823,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:39.962431+00:00
41310,41310::ambulance_base::003,41310::candidate::public_health_41310_003,14.716666666666667,883,5593,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:40.294360+00:00
41310,41310::ambulance_base::003,41310::hospital::001,5.616666666666666,337,1279,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:40.598132+00:00
41310,41310::ambulance_base::004,41310::candidate::public_health_41310_001,12.983333333333333,779,5444,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:40.913774+00:00
41310,41310::ambulance_base::004,41310::candidate::public_health_41310_002,18.3,1098,6606,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:41.258009+00:00
41310,41310::ambulance_base::004,41310::candidate::public_health_41310_003,3.5166666666666666,211,1131,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:41.560111+00:00
41310,41310::ambulance_base::004,41310::hospital::001,14.216666666666667,853,5739,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:41.875006+00:00
41310,41310::candidate::public_health_41310_001,41310::ambulance_base::001,10.066666666666666,604,2546,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:42.196404+00:00
41310,41310::candidate::public_health_41310_001,41310::ambulance_base::002,6.383333333333334,383,1893,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:42.507339+00:00
41310,41310::candidate::public_health_41310_001,41310::ambulance_base::003,4.033333333333333,242,634,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:42.821936+00:00
41310,41310::candidate::public_health_41310_001,41310::ambulance_base::004,15.983333333333333,959,5974,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:53:43.176748+00:00
