시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도
부천시,가톨릭대부천성모병원,지역응급의료센터,1577-0675,경기도 부천시 원미구 소사로 327,경기도 부천시 원미구 소사동 2번지,14647,37.4874980000,126.7930296000
의정부시,가톨릭대의정부성모병원,권역응급의료센터,1661-7500,경기도 의정부시 천보로 271,경기도 의정부시 금오동 65-1번지,11765,37.7585227000,127.0779287000
용인시,강남병원,지역응급의료센터,300-0114,경기도 용인시 기흥구 중부대로 411,경기도 용인시 기흥구 신갈동 65-3번지,17064,37.2736708000,127.1114435000
수원시,경기도의료원 수원병원,지역응급의료기관,888-0114,경기도 수원시 장안구 수성로245번길 69,경기도 수원시 장안구 정자동 886-9번지,16316,37.2923486000,126.9968103000
안성시,경기도의료원 안성병원,지역응급의료기관,8046-5000,경기도 안성시 남파로 95,경기도 안성시 당왕동 585번지,17568,37.0173057000,127.2602971000
의정부시,경기도의료원 의정부병원,지역응급의료기관,828-5000,경기도 의정부시 흥선로 142,경기도 의정부시 의정부동 433번지,11671,37.7410761000,127.0425136000
이천시,경기도의료원 이천병원,지역응급의료센터,630-4200,경기도 이천시 경충대로 2742,경기도 이천시 관고동 515번지,17366,37.2828169000,127.4332171000
파주시,경기도의료원 파주병원,지역응급의료센터,940-9100,경기도 파주시 중앙로 207,경기도 파주시 금촌동 798번지,10922,37.7548777000,126.7796405000
포천시,경기도의료원 포천병원,지역응급의료센터,539-9114,경기도 포천시 포천로 1648,경기도 포천시 신읍동 243-1번지,11142,37.9030934000,127.1983489000
안산시,고려대안산병원,권역응급의료센터,412-5114,경기도 안산시 단원구 적금로 123,경기도 안산시 단원구 고잔동 516번지,15355,37.3177037000,126.8246661000
광명시,광명성애병원,지역응급의료센터,02-2680-7114,경기도 광명시 디지털로 36,경기도 광명시 철산동 389번지,14241,37.4730459000,126.8722172000
성남시,국군수도병원,지역응급의료기관,725-5114,경기도 성남시 분당구 새마을로177번길 81,경기도 성남시 분당구 율동 222번지,13574,37.3923730000,127.1490748000
고양시,국립암센터,지역응급의료기관,920-0118,경기도 고양시 일산동구 일산로 323,경기도 고양시 일산동구 마두동 809번지,10408,37.6632367000,126.7833955000
고양시,국민건강보험공단일산병원,권역응급의료센터,1577-0013,경기도 고양시 일산동구 일산로 100,경기도 고양시 일산동구 백석동 1232번지,10444,37.6454752000,126.7929631000
평택시,굿모닝병원,지역응급의료센터,5182-7700,경기도 평택시 중앙로 338,경기도 평택시 합정동 883번지,17874,36.9905649000,127.1204512000
안산시,근로복지공단안산병원,지역응급의료기관,500-1114,경기도 안산시 상록구 구룡로 87,경기도 안산시 상록구 일동 95번지,15324,37.3167670000,126.8739933000
김포시,김포우리병원,지역응급의료센터,999-1000,경기도 김포시 감암로 11,경기도 김포시 걸포동 389-15번지,10099,37.6330010000,126.7105517000
남양주시,남양주한양병원,지역응급의료센터,510-0114,경기도 남양주시 오남읍 양지로 47-55,경기도 남양주시 오남읍 오남리 570번지,12048,37.6823215000,127.2043260000
김포시,뉴고려병원,지역응급의료센터,998-8129,경기도 김포시 김포한강3로 283,경기도 김포시 장기동 1764번지,10086,37.6409639000,126.6602555000
부천시,다니엘종합병원,지역응급의료기관,032-670-0001,경기도 부천시 원미구 중동로 361,경기도 부천시 원미구 약대동 138-7번지,14513,37.5123311000,126.7694862000
안산시,대야의료재단한도병원,지역응급의료센터,8040-1572,경기도 안산시 단원구 선부광장로 103,경기도 안산시 단원구 선부동 1071-1번지,15367,37.3340553000,126.8076211000
고양시,더자인병원,지역응급의료기관,1688-5533,경기도 고양시 덕양구 중앙로 555,경기도 고양시 덕양구 행신동 995번지,10518,37.6229829000,126.8356822000
고양시,동국대일산불교병원,지역응급의료센터,1577-7000,경기도 고양시 일산동구 동국로 27,경기도 고양시 일산동구 식사동 814번지,10326,37.6764385000,126.8055630000
수원시,동수원병원,지역응급의료센터,210-0114,경기도 수원시 팔달구 중부대로 165,경기도 수원시 팔달구 우만동 157-7번지,16494,37.2781610000,127.0343321000
파주시,메디인병원,지역응급의료기관,943-1191,경기도 파주시 금릉역로 190,경기도 파주시 금촌동 495-1번지,10913,37.7610981000,126.7667173000
용인시,메디필드한강병원,지역응급의료기관,031-332-1119,경기도 용인시 처인구 금령로39번길 8-6,경기도 용인시 처인구 김량장동 254-337 한강병원,17050,37.2353962000,127.2010748000
수원시,명인의료재단 화홍병원,지역응급의료센터,278-0119,경기도 수원시 권선구 호매실로90번길 98,경기도 수원시 권선구 호매실동 1396-1번지,16630,37.2601327000,126.9639256000
용인시,명주병원,지역응급의료센터,1522-8119,경기도 용인시 처인구 금령로39번길 8-6,경기도 용인시 처인구 김량장동 254-337번지,17050,37.2353962000,127.2010748000
고양시,명지병원,권역응급의료센터,810-5114,경기도 고양시 덕양구 화수로14번길 55,경기도 고양시 덕양구 화정동 697-1번지,10475,37.6424745000,126.8317454000
평택시,박병원,지역응급의료기관,666-2600,경기도 평택시 송탄로 33,경기도 평택시 장당동 470-4번지,17784,37.0482621000,127.0570065000
평택시,박애병원,지역응급의료기관,652-2121,경기도 평택시 평택2로20번길 3,경기도 평택시 평택동 41-2번지,17909,36.9930565000,127.0890739000
부천시,부천세종병원,지역응급의료센터,1599-6677,경기도 부천시 소사구 호현로489번길 28,경기도 부천시 소사구 소사본동 91-121번지,14754,37.4810423000,126.7911902000
성남시,분당서울대병원,권역응급의료센터,1588-3369,경기도 성남시 분당구 구미로173번길 82,경기도 성남시 분당구 구미동 300번지,13620,37.3486126000,127.1254645000
성남시,분당제생병원,지역응급의료센터,779-0114,경기도 성남시 분당구 서현로180번길 20,경기도 성남시 분당구 서현동 255-2번지,13590,37.3882075000,127.1217770000
