"행정구역","2026년08월_총인구수","2026년08월_세대수","2026년08월_세대당 인구","2026년08월_남자 인구수","2026년08월_여자 인구수","2026년08월_남여 비율"
"서울특별시 성동구 성수1가제1동(1120065000)","14,723","7,248","          2.03","7,237","7,486","          0.97"
"서울특별시 성동구 성수1가제2동(1120066000)","14,274","7,085","          2.01","6,886","7,388","          0.93"
"서울특별시 성동구 성수2가제1동(1120067000)","13,222","7,050","          1.88","6,811","6,411","          1.06"
"서울특별시 성동구 성수2가제3동(1120069000)","9,303","4,857","          1.92","4,538","4,765","          0.95"
"서울특별시 성동구 송정동(1120072000)","8,993","5,093","          1.77","4,714","4,279","          1.10"
"서울특별시 성동구 용답동(1120079000)","13,198","8,396","          1.57","6,736","6,462","          1.04"
"서울특별시 광진구 (1121500000)","330,791","172,318","          1.92","158,118","172,673","          0.92"
"서울특별시 광진구 화양동(1121571000)","22,936","18,227","          1.26","10,796","12,140","          0.89"
"서울특별시 광진구 군자동(1121573000)","18,500","11,303","          1.64","9,054","9,446","          0.96"
"서울특별시 광진구 중곡제1동(1121574000)","14,801","8,625","          1.72","6,982","7,819","          0.89"
"서울특별시 광진구 중곡제2동(1121575000)","19,652","10,531","          1.87","9,251","10,401","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,180","8,436","          1.80","7,423","7,757","          0.96"
"서울특별시 광진구 중곡제4동(1121577000)","26,753","13,188","          2.03","12,882","13,871","          0.93"
"서울특별시 광진구 능동(1121578000)","10,593","6,339","          1.67","4,879","5,714","          0.85"
"서울특별시 광진구 광장동(1121581000)","32,833","11,758","          2.79","15,859","16,974","          0.93"
"서울특별시 광진구 자양제1동(1121582000)","21,417","12,139","          1.76","10,282","11,135","          0.92"
"서울특별시 광진구 자양제2동(1121583000)","26,254","12,204","          2.15","12,649","13,605","          0.93"
"서울특별시 광진구 자양제3동(1121584000)","26,547","10,974","          2.42","12,725","13,822","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","19,921","11,417","          1.74","9,698","10,223","          0.95"
"서울특별시 광진구 구의제1동(1121585000)","23,264","13,621","          1.71","10,928","12,336","          0.89"
"서울특별시 광진구 구의제2동(1121586000)","24,773","11,554","          2.14","11,760","13,013","          0.90"
"서울특별시 광진구 구의제3동(1121587000)","27,367","12,002","          2.28","12,950","14,417","          0.90"
"서울특별시 동대문구 (1123000000)","353,448","181,313","          1.95","172,051","181,397","          0.95"
"서울특별시 동대문구 신설동(1123051500)","16,412","9,617","          1.71","8,098","8,314","          0.97"
"서울특별시 동대문구 용두동(1123053300)","22,706","12,894","          1.76","11,130","11,576","          0.96"
"서울특별시 동대문구 제기동(1123054500)","22,065","12,830","          1.72","11,359","10,706","          1.06"
"서울특별시 동대문구 전농제1동(1123056000)","32,482","16,540","          1.96","16,020","16,462","          0.97"
"서울특별시 동대문구 전농제2동(1123057000)","17,115","7,353","          2.33","8,130","8,985","          0.90"
"서울특별시 동대문구 답십리제1동(1123060000)","27,611","13,043","          2.12","13,197","14,414","          0.92"
"서울특별시 동대문구 답십리제2동(1123061000)","27,116","12,688","          2.14","12,969","14,147","          0.92"
"서울특별시 동대문구 장안제1동(1123065000)","36,998","18,662","          1.98","18,006","18,992","          0.95"
"서울특별시 동대문구 장안제2동(1123066000)","33,005","15,119","          2.18","16,237","16,768","          0.97"
"서울특별시 동대문구 청량리동(1123070500)","18,374","9,959","          1.84","8,945","9,429","          0.95"
"서울특별시 동대문구 회기동(1123071000)","10,269","6,735","          1.52","4,851","5,418","          0.90"
"서울특별시 동대문구 휘경제1동(1123072000)","16,805","9,053","          1.86","7,828","8,977","          0.87"
"서울특별시 동대문구 휘경제2동(1123073000)","23,529","12,703","          1.85","11,745","11,784","          1.00"
"서울특별시 동대문구 이문제1동(1123074000)","31,110","15,984","          1.95","14,961","16,149","          0.93"
"서울특별시 동대문구 이문제2동(1123075000)","17,851","8,133","          2.19","8,575","9,276","          0.92"
"서울특별시 중랑구 (1126000000)","376,504","190,744","          1.97","183,550","192,954","          0.95"
