"행정구역","2026년08월_총인구수","2026년08월_세대수","2026년08월_세대당 인구","2026년08월_남자 인구수","2026년08월_여자 인구수","2026년08월_남여 비율"
"전남광주통합특별시 광산구 본량동(1233069000)","1,770","1,068","          1.66","913","857","          1.07"
"전남광주통합특별시 광산구 신창동(1233070000)","32,831","14,078","          2.33","16,826","16,005","          1.05"
"전남광주통합특별시 담양군 (1271000000)","43,880","23,800","          1.84","22,185","21,695","          1.02"
"전남광주통합특별시 담양군 담양읍(1271025000)","15,090","7,552","          2.00","7,498","7,592","          0.99"
"전남광주통합특별시 담양군 봉산면(1271031000)","2,546","1,442","          1.77","1,332","1,214","          1.10"
"전남광주통합특별시 담양군 고서면(1271032000)","2,778","1,549","          1.79","1,399","1,379","          1.01"
"전남광주통합특별시 담양군 가사문학면(1271033500)","1,162","713","          1.63","585","577","          1.01"
"전남광주통합특별시 담양군 창평면(1271034000)","3,328","1,957","          1.70","1,699","1,629","          1.04"
"전남광주통합특별시 담양군 대덕면(1271035000)","1,817","1,067","          1.70","924","893","          1.03"
"전남광주통합특별시 담양군 무정면(1271036000)","2,272","1,403","          1.62","1,179","1,093","          1.08"
"전남광주통합특별시 담양군 금성면(1271037000)","2,405","1,479","          1.63","1,231","1,174","          1.05"
"전남광주통합특별시 담양군 용면(1271038000)","1,699","1,009","          1.68","863","836","          1.03"
"전남광주통합특별시 담양군 월산면(1271039000)","2,169","1,193","          1.82","1,128","1,041","          1.08"
"전남광주통합특별시 담양군 수북면(1271040000)","4,654","2,354","          1.98","2,380","2,274","          1.05"
"전남광주통합특별시 담양군 대전면(1271041000)","3,960","2,082","          1.90","1,967","1,993","          0.99"
"전남광주통합특별시 곡성군 (1272000000)","27,686","16,138","          1.72","13,829","13,857","          1.00"
"전남광주통합특별시 곡성군 곡성읍(1272025000)","8,064","4,266","          1.89","3,921","4,143","          0.95"
"전남광주통합특별시 곡성군 오곡면(1272031000)","1,753","1,054","          1.66","873","880","          0.99"
"전남광주통합특별시 곡성군 삼기면(1272032000)","1,665","1,027","          1.62","840","825","          1.02"
"전남광주통합특별시 곡성군 석곡면(1272033000)","2,177","1,331","          1.64","1,056","1,121","          0.94"
"전남광주통합특별시 곡성군 목사동면(1272034000)","1,354","879","          1.54","697","657","          1.06"
"전남광주통합특별시 곡성군 죽곡면(1272035000)","1,973","1,206","          1.64","973","1,000","          0.97"
"전남광주통합특별시 곡성군 고달면(1272036000)","1,074","692","          1.55","564","510","          1.11"
"전남광주통합특별시 곡성군 옥과면(1272037000)","4,117","2,344","          1.76","2,082","2,035","          1.02"
"전남광주통합특별시 곡성군 입면(1272038000)","2,318","1,360","          1.70","1,199","1,119","          1.07"
"전남광주통합특별시 곡성군 겸면(1272039000)","1,657","1,055","          1.57","816","841","          0.97"
"전남광주통합특별시 곡성군 오산면(1272040000)","1,534","924","          1.66","808","726","          1.11"
"전남광주통합특별시 구례군 (1273000000)","24,627","13,861","          1.78","12,055","12,572","          0.96"
"전남광주통합특별시 구례군 구례읍(1273025000)","10,809","5,654","          1.91","5,269","5,540","          0.95"
"전남광주통합특별시 구례군 문척면(1273031000)","1,315","787","          1.67","683","632","          1.08"
"전남광주통합특별시 구례군 간전면(1273032000)","1,411","861","          1.64","691","720","          0.96"
"전남광주통합특별시 구례군 토지면(1273033000)","2,444","1,482","          1.65","1,206","1,238","          0.97"
"전남광주통합특별시 구례군 마산면(1273034000)","2,357","1,312","          1.80","1,148","1,209","          0.95"
"전남광주통합특별시 구례군 광의면(1273035000)","2,170","1,316","          1.65","1,062","1,108","          0.96"
"전남광주통합특별시 구례군 용방면(1273036000)","1,292","791","          1.63","632","660","          0.96"
"전남광주통합특별시 구례군 산동면(1273037000)","2,829","1,658","          1.71","1,364","1,465","          0.93"
"전남광주통합특별시 고흥군 (1274000000)","59,011","35,123","          1.68","29,315","29,696","          0.99"
"전남광주통합특별시 고흥군 고흥읍(1274025000)","12,310","6,174","          1.99","6,044","6,266","          0.96"
"전남광주통합특별시 고흥군 도양읍(1274025300)","9,109","5,104","          1.78","4,486","4,623","          0.97"
"전남광주통합특별시 고흥군 도양읍소록출장소(1274025400)","484","351","          1.38","252","232","          1.09"
"전남광주통합특별시 고흥군 도양읍시산출장소(1274025500)","190","136","          1.40","99","91","          1.09"
"전남광주통합특별시 고흥군 풍양면(1274031000)","2,855","1,783","          1.60","1,475","1,380","          1.07"
"전남광주통합특별시 고흥군 도덕면(1274032000)","2,648","1,672","          1.58","1,341","1,307","          1.03"
"전남광주통합특별시 고흥군 금산면(1274033000)","3,876","2,419","          1.60","1,934","1,942","          1.00"
"전남광주통합특별시 고흥군 도화면(1274034000)","3,484","2,149","          1.62","1,733","1,751","          0.99"
"전남광주통합특별시 고흥군 포두면(1274035000)","4,423","2,768","          1.60","2,165","2,258","          0.96"
"전남광주통합특별시 고흥군 봉래면(1274036000)","1,772","1,107","          1.60","901","871","          1.03"
"전남광주통합특별시 고흥군 점암면(1274037000)","2,574","1,709","          1.51","1,306","1,268","          1.03"
"전남광주통합특별시 고흥군 과역면(1274038000)","3,002","1,868","          1.61","1,451","1,551","          0.94"
"전남광주통합특별시 고흥군 남양면(1274039000)","2,130","1,336","          1.59","1,052","1,078","          0.98"
"전남광주통합특별시 고흥군 동강면(1274040000)","2,805","1,753","          1.60","1,401","1,404","          1.00"
"전남광주통합특별시 고흥군 대서면(1274041000)","2,046","1,385","          1.48","1,019","1,027","          0.99"
"전남광주통합특별시 고흥군 두원면(1274042000)","2,792","1,810","          1.54","1,373","1,419","          0.97"
"전남광주통합특별시 고흥군 영남면(1274044000)","1,144","757","          1.51","564","580","          0.97"
"전남광주통합특별시 고흥군 동일면(1274045000)","1,367","842","          1.62","719","648","          1.11"
"전남광주통합특별시 보성군 (1275000000)","38,162","22,198","          1.72","18,811","19,351","          0.97"
"전남광주통합특별시 보성군 보성읍(1275025000)","8,819","4,457","          1.98","4,327","4,492","          0.96"
"전남광주통합특별시 보성군 벌교읍(1275025300)","11,077","6,381","          1.74","5,402","5,675","          0.95"
"전남광주통합특별시 보성군 노동면(1275031000)","1,120","699","          1.60","563","557","          1.01"
"전남광주통합특별시 보성군 미력면(1275032000)","1,376","869","          1.58","717","659","          1.09"
"전남광주통합특별시 보성군 겸백면(1275033000)","1,088","708","          1.54","554","534","          1.04"
"전남광주통합특별시 보성군 율어면(1275034000)","1,122","677","          1.66","571","551","          1.04"
"전남광주통합특별시 보성군 복내면(1275035000)","1,566","979","          1.60","754","812","          0.93"
"전남광주통합특별시 보성군 문덕면(1275036000)","948","629","          1.51","477","471","          1.01"
"전남광주통합특별시 보성군 조성면(1275037000)","3,403","2,129","          1.60","1,652","1,751","          0.94"
"전남광주통합특별시 보성군 득량면(1275038000)","2,559","1,594","          1.61","1,282","1,277","          1.00"
"전남광주통합특별시 보성군 득량면예당출장소(1275038500)","1,117","674","          1.66","532","585","          0.91"
"전남광주통합특별시 보성군 회천면(1275039000)","2,935","1,758","          1.67","1,452","1,483","          0.98"
"전남광주통합특별시 보성군 웅치면(1275040000)","1,032","644","          1.60","528","504","          1.05"
"전남광주통합특별시 화순군 (1276000000)","59,860","31,636","          1.89","29,667","30,193","          0.98"
"전남광주통합특별시 화순군 화순읍(1276025000)","38,812","18,533","          2.09","18,906","19,906","          0.95"
"전남광주통합특별시 화순군 화순읍민원출장소(1276025100)","0","0","          0.00","0","0","          0.00"
"전남광주통합특별시 화순군 한천면(1276031000)","914","576","          1.59","479","435","          1.10"
"전남광주통합특별시 화순군 한천면영외출장소(1276031500)","398","266","          1.50","189","209","          0.90"
"전남광주통합특별시 화순군 춘양면(1276032000)","1,594","997","          1.60","836","758","          1.10"
"전남광주통합특별시 화순군 청풍면(1276033000)","942","645","          1.46","494","448","          1.10"
"전남광주통합특별시 화순군 이양면(1276034000)","1,644","1,066","          1.54","836","808","          1.03"
"전남광주통합특별시 화순군 능주면(1276035000)","2,779","1,559","          1.78","1,376","1,403","          0.98"
"전남광주통합특별시 화순군 도곡면(1276036000)","2,678","1,580","          1.69","1,383","1,295","          1.07"
"전남광주통합특별시 화순군 도암면(1276037000)","1,291","844","          1.53","668","623","          1.07"
"전남광주통합특별시 화순군 이서면(1276038000)","984","585","          1.68","503","481","          1.05"
"전남광주통합특별시 화순군 백아면(1276039500)","1,504","987","          1.52","782","722","          1.08"
"전남광주통합특별시 화순군 동복면(1276040000)","1,428","945","          1.51","690","738","          0.93"
"전남광주통합특별시 화순군 사평면(1276041500)","2,007","1,243","          1.61","1,041","966","          1.08"
"전남광주통합특별시 화순군 동면(1276042000)","2,885","1,810","          1.59","1,484","1,401","          1.06"
"전남광주통합특별시 장흥군 (1277000000)","33,877","19,649","          1.72","16,763","17,114","          0.98"
"전남광주통합특별시 장흥군 장흥읍(1277025000)","14,670","7,694","          1.91","7,187","7,483","          0.96"
"전남광주통합특별시 장흥군 관산읍(1277025300)","4,243","2,600","          1.63","2,092","2,151","          0.97"
"전남광주통합특별시 장흥군 대덕읍(1277025600)","2,845","1,784","          1.59","1,408","1,437","          0.98"
"전남광주통합특별시 장흥군 용산면(1277031000)","2,036","1,271","          1.60","1,032","1,004","          1.03"
"전남광주통합특별시 장흥군 안양면(1277032000)","2,553","1,599","          1.60","1,277","1,276","          1.00"
"전남광주통합특별시 장흥군 장동면(1277033000)","1,087","688","          1.58","540","547","          0.99"
"전남광주통합특별시 장흥군 장평면(1277034000)","1,871","1,205","          1.55","938","933","          1.01"
"전남광주통합특별시 장흥군 유치면(1277035000)","899","605","          1.49","457","442","          1.03"
"전남광주통합특별시 장흥군 부산면(1277036000)","1,305","822","          1.59","655","650","          1.01"
"전남광주통합특별시 장흥군 회진면(1277037000)","2,368","1,381","          1.71","1,177","1,191","          0.99"
"전남광주통합특별시 강진군 (1278000000)","31,603","18,119","          1.74","15,577","16,026","          0.97"
"전남광주통합특별시 강진군 강진읍(1278025000)","12,344","6,492","          1.90","5,951","6,393","          0.93"
"전남광주통합특별시 강진군 군동면(1278031000)","4,734","2,497","          1.90","2,380","2,354","          1.01"
"전남광주통합특별시 강진군 칠량면(1278032000)","1,983","1,225","          1.62","992","991","          1.00"
"전남광주통합특별시 강진군 대구면(1278033000)","990","618","          1.60","489","501","          0.98"
"전남광주통합특별시 강진군 도암면(1278034000)","2,247","1,412","          1.59","1,107","1,140","          0.97"
"전남광주통합특별시 강진군 신전면(1278035000)","1,580","984","          1.61","796","784","          1.02"
"전남광주통합특별시 강진군 성전면(1278036000)","2,530","1,576","          1.61","1,267","1,263","          1.00"
"전남광주통합특별시 강진군 작천면(1278037000)","1,629","1,069","          1.52","834","795","          1.05"
"전남광주통합특별시 강진군 병영면(1278038000)","1,416","887","          1.60","682","734","          0.93"
"전남광주통합특별시 강진군 옴천면(1278039000)","564","363","          1.55","290","274","          1.06"
"전남광주통합특별시 강진군 마량면(1278040000)","1,586","996","          1.59","789","797","          0.99"
"전남광주통합특별시 해남군 (1279000000)","61,883","34,498","          1.79","31,202","30,681","          1.02"
"전남광주통합특별시 해남군 해남읍(1279025000)","23,433","11,434","          2.05","11,565","11,868","          0.97"
"전남광주통합특별시 해남군 삼산면(1279031000)","2,629","1,545","          1.70","1,338","1,291","          1.04"
"전남광주통합특별시 해남군 화산면(1279032000)","2,788","1,631","          1.71","1,438","1,350","          1.07"
"전남광주통합특별시 해남군 현산면(1279033000)","2,499","1,516","          1.65","1,257","1,242","          1.01"
"전남광주통합특별시 해남군 송지면(1279034000)","5,338","3,190","          1.67","2,709","2,629","          1.03"
"전남광주통합특별시 해남군 북평면(1279035000)","2,397","1,444","          1.66","1,184","1,213","          0.98"
"전남광주통합특별시 해남군 북일면(1279036000)","1,774","1,088","          1.63","879","895","          0.98"
"전남광주통합특별시 해남군 옥천면(1279037000)","2,715","1,631","          1.66","1,378","1,337","          1.03"
"전남광주통합특별시 해남군 계곡면(1279038000)","2,004","1,239","          1.62","983","1,021","          0.96"
"전남광주통합특별시 해남군 마산면(1279039000)","2,209","1,360","          1.62","1,160","1,049","          1.11"
"전남광주통합특별시 해남군 황산면(1279040000)","4,134","2,451","          1.69","2,074","2,060","          1.01"
"전남광주통합특별시 해남군 산이면(1279041000)","3,347","1,995","          1.68","1,760","1,587","          1.11"
"전남광주통합특별시 해남군 문내면(1279042000)","3,485","2,020","          1.73","1,783","1,702","          1.05"
"전남광주통합특별시 해남군 화원면(1279043000)","3,131","1,954","          1.60","1,694","1,437","          1.18"
"전남광주통합특별시 영암군 (1280000000)","49,984","28,472","          1.76","26,424","23,560","          1.12"
"전남광주통합특별시 영암군 영암읍(1280025000)","7,630","4,061","          1.88","3,813","3,817","          1.00"
"전남광주통합특별시 영암군 삼호읍(1280025300)","15,077","7,711","          1.96","8,133","6,944","          1.17"
"전남광주통합특별시 영암군 삼호읍서부출장소(1280025400)","5,777","3,295","          1.75","3,542","2,235","          1.58"
"전남광주통합특별시 영암군 덕진면(1280031000)","1,631","1,056","          1.54","839","792","          1.06"
"전남광주통합특별시 영암군 금정면(1280032000)","1,922","1,216","          1.58","1,001","921","          1.09"
"전남광주통합특별시 영암군 신북면(1280033000)","3,306","2,104","          1.57","1,691","1,615","          1.05"
"전남광주통합특별시 영암군 시종면(1280034000)","3,153","2,007","          1.57","1,653","1,500","          1.10"
"전남광주통합특별시 영암군 도포면(1280035000)","2,001","1,268","          1.58","1,047","954","          1.10"
"전남광주통합특별시 영암군 군서면(1280036000)","2,956","1,804","          1.64","1,465","1,491","          0.98"
"전남광주통합특별시 영암군 서호면(1280037000)","1,752","1,108","          1.58","853","899","          0.95"
"전남광주통합특별시 영암군 학산면(1280038000)","2,746","1,636","          1.68","1,347","1,399","          0.96"
"전남광주통합특별시 영암군 미암면(1280039000)","2,033","1,206","          1.69","1,040","993","          1.05"
"전남광주통합특별시 무안군 (1281000000)","95,537","46,640","          2.05","48,055","47,482","          1.01"
"전남광주통합특별시 무안군 무안읍(1281025000)","10,458","5,586","          1.87","5,213","5,245","          0.99"
"전남광주통합특별시 무안군 일로읍(1281025300)","25,631","10,006","          2.56","12,735","12,896","          0.99"
"전남광주통합특별시 무안군 삼향읍(1281025600)","4,883","2,433","          2.01","2,581","2,302","          1.12"
"전남광주통합특별시 무안군 삼향읍남악출장소(1281025800)","32,363","14,552","          2.22","15,933","16,430","          0.97"
"전남광주통합특별시 무안군 몽탄면(1281032000)","2,717","1,741","          1.56","1,370","1,347","          1.02"
"전남광주통합특별시 무안군 청계면(1281033000)","6,326","4,091","          1.55","3,393","2,933","          1.16"
"전남광주통합특별시 무안군 현경면(1281034000)","4,207","2,659","          1.58","2,187","2,020","          1.08"
"전남광주통합특별시 무안군 망운면(1281035000)","1,843","1,141","          1.62","949","894","          1.06"
"전남광주통합특별시 무안군 해제면(1281036000)","4,359","2,762","          1.58","2,257","2,102","          1.07"
"전남광주통합특별시 무안군 운남면(1281037000)","2,750","1,669","          1.65","1,437","1,313","          1.09"
"전남광주통합특별시 함평군 (1282000000)","29,753","17,856","          1.67","15,225","14,528","          1.05"
"전남광주통합특별시 함평군 함평읍(1282025000)","8,116","4,403","          1.84","4,067","4,049","          1.00"
"전남광주통합특별시 함평군 손불면(1282031000)","3,050","1,892","          1.61","1,574","1,476","          1.07"
"전남광주통합특별시 함평군 신광면(1282032000)","1,579","1,008","          1.57","807","772","          1.05"
"전남광주통합특별시 함평군 학교면(1282033000)","3,322","2,078","          1.60","1,700","1,622","          1.05"
"전남광주통합특별시 함평군 엄다면(1282034000)","1,721","1,084","          1.59","845","876","          0.96"
"전남광주통합특별시 함평군 대동면(1282035000)","3,060","1,874","          1.63","1,606","1,454","          1.10"
"전남광주통합특별시 함평군 나산면(1282036000)","2,585","1,594","          1.62","1,328","1,257","          1.06"
"전남광주통합특별시 함평군 해보면(1282037000)","2,923","1,834","          1.59","1,494","1,429","          1.05"
"전남광주통합특별시 함평군 월야면(1282038000)","3,397","2,089","          1.63","1,804","1,593","          1.13"
"전남광주통합특별시 영광군 (1283000000)","53,719","28,615","          1.88","26,958","26,761","          1.01"
"전남광주통합특별시 영광군 영광읍(1283025000)","23,541","11,306","          2.08","11,513","12,028","          0.96"
"전남광주통합특별시 영광군 백수읍(1283025300)","4,433","2,571","          1.72","2,206","2,227","          0.99"
"전남광주통합특별시 영광군 홍농읍(1283025600)","7,099","3,776","          1.88","3,744","3,355","          1.12"
"전남광주통합특별시 영광군 대마면(1283031000)","1,614","1,004","          1.61","847","767","          1.10"
"전남광주통합특별시 영광군 묘량면(1283032000)","1,722","966","          1.78","861","861","          1.00"
"전남광주통합특별시 영광군 불갑면(1283033000)","1,456","819","          1.78","768","688","          1.12"
"전남광주통합특별시 영광군 군서면(1283034000)","2,262","1,250","          1.81","1,172","1,090","          1.08"
"전남광주통합특별시 영광군 군남면(1283035000)","2,273","1,377","          1.65","1,102","1,171","          0.94"
"전남광주통합특별시 영광군 염산면(1283036000)","3,806","2,352","          1.62","1,910","1,896","          1.01"
"전남광주통합특별시 영광군 법성면(1283037000)","4,830","2,712","          1.78","2,424","2,406","          1.01"
"전남광주통합특별시 영광군 낙월면(1283038000)","462","323","          1.43","274","188","          1.46"
"전남광주통합특별시 영광군 낙월면안마출장소(1283038500)","221","159","          1.39","137","84","          1.63"
"전남광주통합특별시 장성군 (1284000000)","43,079","23,608","          1.82","22,115","20,964","          1.05"
"전남광주통합특별시 장성군 장성읍(1284025000)","15,030","7,568","          1.99","7,441","7,589","          0.98"
"전남광주통합특별시 장성군 진원면(1284031000)","3,558","1,786","          1.99","1,781","1,777","          1.00"
"전남광주통합특별시 장성군 남면(1284032000)","3,603","2,188","          1.65","1,968","1,635","          1.20"
"전남광주통합특별시 장성군 동화면(1284033000)","1,809","1,074","          1.68","950","859","          1.11"
"전남광주통합특별시 장성군 삼서면(1284034000)","2,934","1,671","          1.76","1,572","1,362","          1.15"
"전남광주통합특별시 장성군 삼계면(1284035000)","5,206","2,816","          1.85","2,820","2,386","          1.18"
"전남광주통합특별시 장성군 황룡면(1284036000)","3,704","2,123","          1.74","1,923","1,781","          1.08"
"전남광주통합특별시 장성군 서삼면(1284037000)","1,467","873","          1.68","760","707","          1.07"
"전남광주통합특별시 장성군 북일면(1284038000)","1,301","804","          1.62","667","634","          1.05"
"전남광주통합특별시 장성군 북이면(1284039000)","2,564","1,499","          1.71","1,266","1,298","          0.98"
"전남광주통합특별시 장성군 북하면(1284040000)","1,903","1,206","          1.58","967","936","          1.03"
"전남광주통합특별시 완도군 (1285000000)","44,071","24,942","          1.77","22,419","21,652","          1.04"
"전남광주통합특별시 완도군 완도읍(1285025000)","16,662","8,739","          1.91","8,392","8,270","          1.01"
"전남광주통합특별시 완도군 금일읍(1285025300)","3,298","2,004","          1.65","1,698","1,600","          1.06"
"전남광주통합특별시 완도군 노화읍(1285025600)","3,670","2,047","          1.79","1,890","1,780","          1.06"
"전남광주통합특별시 완도군 노화읍넙도출장소(1285029000)","685","410","          1.67","383","302","          1.27"
"전남광주통합특별시 완도군 군외면(1285031000)","2,838","1,789","          1.59","1,450","1,388","          1.04"
"전남광주통합특별시 완도군 신지면(1285032000)","2,992","1,790","          1.67","1,538","1,454","          1.06"
"전남광주통합특별시 완도군 고금면(1285033000)","3,668","2,157","          1.70","1,816","1,852","          0.98"
"전남광주통합특별시 완도군 약산면(1285034000)","2,127","1,314","          1.62","1,101","1,026","          1.07"
"전남광주통합특별시 완도군 청산면(1285035000)","1,823","1,124","          1.62","929","894","          1.04"
"전남광주통합특별시 완도군 청산면모도출장소(1285035500)","217","134","          1.62","120","97","          1.24"
"전남광주통합특별시 완도군 소안면(1285036000)","2,215","1,268","          1.75","1,103","1,112","          0.99"
"전남광주통합특별시 완도군 금당면(1285037000)","790","480","          1.65","402","388","          1.04"
"전남광주통합특별시 완도군 보길면(1285038000)","2,369","1,217","          1.95","1,215","1,154","          1.05"
"전남광주통합특별시 완도군 생일면(1285039000)","717","469","          1.53","382","335","          1.14"
"전남광주통합특별시 진도군 (1286000000)","27,773","16,335","          1.70","14,043","13,730","          1.02"
"전남광주통합특별시 진도군 진도읍(1286025000)","10,132","5,295","          1.91","5,060","5,072","          1.00"
"전남광주통합특별시 진도군 군내면(1286031000)","2,726","1,650","          1.65","1,405","1,321","          1.06"
"전남광주통합특별시 진도군 고군면(1286032000)","3,202","1,894","          1.69","1,591","1,611","          0.99"
"전남광주통합특별시 진도군 의신면(1286033000)","3,194","2,060","          1.55","1,641","1,553","          1.06"
"전남광주통합특별시 진도군 임회면(1286034000)","3,092","1,952","          1.58","1,532","1,560","          0.98"
"전남광주통합특별시 진도군 지산면(1286035000)","2,784","1,781","          1.56","1,395","1,389","          1.00"
"전남광주통합특별시 진도군 조도면(1286036000)","2,028","1,336","          1.52","1,083","945","          1.15"
"전남광주통합특별시 진도군 조도면가사출장소(1286036500)","231","162","          1.43","134","97","          1.38"
"전남광주통합특별시 진도군 조도면거차출장소(1286036600)","384","205","          1.87","202","182","          1.11"
"전남광주통합특별시 신안군 (1287000000)","42,384","22,566","          1.88","22,795","19,589","          1.16"
"전남광주통합특별시 신안군 지도읍(1287025000)","4,820","2,611","          1.85","2,535","2,285","          1.11"
"전남광주통합특별시 신안군 지도읍선도출장소(1287025100)","255","163","          1.56","132","123","          1.07"
"전남광주통합특별시 신안군 압해읍(1287025300)","6,608","2,965","          2.23","3,503","3,105","          1.13"
"전남광주통합특별시 신안군 압해읍매화출장소(1287025400)","284","172","          1.65","148","136","          1.09"
"전남광주통합특별시 신안군 압해읍고이도출장소(1287025500)","269","136","          1.98","146","123","          1.19"
"전남광주통합특별시 신안군 증도면(1287031000)","1,588","953","          1.67","870","718","          1.21"
"전남광주통합특별시 신안군 증도면병풍출장소(1287031500)","313","187","          1.67","181","132","          1.37"
"전남광주통합특별시 신안군 임자면(1287032000)","3,470","1,757","          1.97","1,856","1,614","          1.15"
"전남광주통합특별시 신안군 자은면(1287033000)","2,731","1,337","          2.04","1,426","1,305","          1.09"
"전남광주통합특별시 신안군 비금면(1287034000)","3,715","1,858","          2.00","1,998","1,717","          1.16"
"전남광주통합특별시 신안군 비금면수치도출장소(1287034500)","143","73","          1.96","84","59","          1.42"
"전남광주통합특별시 신안군 도초면(1287035000)","2,448","1,354","          1.81","1,314","1,134","          1.16"
"전남광주통합특별시 신안군 도초면우이도출장소(1287035500)","234","142","          1.65","133","101","          1.32"
"전남광주통합특별시 신안군 흑산면(1287036000)","2,168","1,375","          1.58","1,260","908","          1.39"
"전남광주통합특별시 신안군 흑산면가거도출장소(1287036500)","352","270","          1.30","223","129","          1.73"
"전남광주통합특별시 신안군 흑산면태도출장소(1287036600)","210","143","          1.47","118","92","          1.28"
"전남광주통합특별시 신안군 흑산면홍도출장소(1287036700)","468","267","          1.75","262","206","          1.27"
"전남광주통합특별시 신안군 흑산면대둔도출장소(1287036800)","294","189","          1.56","181","113","          1.60"
"전남광주통합특별시 신안군 하의면(1287037000)","1,693","997","          1.70","938","755","          1.24"
"전남광주통합특별시 신안군 신의면(1287038000)","1,593","822","          1.94","860","733","          1.17"
"전남광주통합특별시 신안군 장산면(1287039000)","1,666","1,017","          1.64","917","749","          1.22"
"전남광주통합특별시 신안군 안좌면(1287040000)","3,841","2,043","          1.88","2,023","1,818","          1.11"
"전남광주통합특별시 신안군 팔금면(1287041000)","1,028","578","          1.78","527","501","          1.05"
"전남광주통합특별시 신안군 암태면(1287042000)","2,193","1,157","          1.90","1,160","1,033","          1.12"
"부산광역시  (2600000000)","3,229,467","1,583,256","          2.04","1,568,318","1,661,149","          0.94"
"부산광역시 중구 (2611000000)","36,126","23,300","          1.55","17,508","18,618","          0.94"
"부산광역시 중구 중앙동(2611051000)","3,139","2,541","          1.24","1,471","1,668","          0.88"
"부산광역시 중구 동광동(2611052000)","2,245","1,535","          1.46","1,162","1,083","          1.07"
"부산광역시 중구 대청동(2611053000)","5,432","3,384","          1.61","2,585","2,847","          0.91"
"부산광역시 중구 보수동(2611054500)","9,697","6,014","          1.61","4,579","5,118","          0.89"
"부산광역시 중구 부평동(2611056000)","3,938","2,595","          1.52","1,901","2,037","          0.93"
"부산광역시 중구 광복동(2611057000)","828","512","          1.62","408","420","          0.97"
"부산광역시 중구 남포동(2611058000)","732","548","          1.34","431","301","          1.43"
"부산광역시 중구 영주제1동(2611059000)","4,189","2,868","          1.46","2,142","2,047","          1.05"
"부산광역시 중구 영주제2동(2611060000)","5,926","3,303","          1.79","2,829","3,097","          0.91"
"부산광역시 서구 (2614000000)","100,964","53,370","          1.89","48,251","52,713","          0.92"
"부산광역시 서구 동대신제1동(2614051000)","4,979","2,615","          1.90","2,389","2,590","          0.92"
"부산광역시 서구 동대신제2동(2614052000)","6,102","3,230","          1.89","2,917","3,185","          0.92"
"부산광역시 서구 동대신제3동(2614053000)","6,914","3,792","          1.82","3,202","3,712","          0.86"
"부산광역시 서구 서대신제1동(2614054000)","14,431","6,764","          2.13","6,774","7,657","          0.88"
"부산광역시 서구 서대신제3동(2614056000)","7,118","3,095","          2.30","3,266","3,852","          0.85"
"부산광역시 서구 서대신제4동(2614057000)","6,789","2,917","          2.33","3,249","3,540","          0.92"
"부산광역시 서구 부민동(2614059000)","7,282","4,235","          1.72","3,432","3,850","          0.89"
"부산광역시 서구 아미동(2614061500)","5,963","3,892","          1.53","2,919","3,044","          0.96"
"부산광역시 서구 초장동(2614063000)","3,431","2,225","          1.54","1,724","1,707","          1.01"
"부산광역시 서구 충무동(2614064000)","9,223","5,439","          1.70","4,409","4,814","          0.92"
"부산광역시 서구 남부민제1동(2614065000)","4,088","2,432","          1.68","2,023","2,065","          0.98"
"부산광역시 서구 남부민제2동(2614066000)","7,130","4,177","          1.71","3,504","3,626","          0.97"
"부산광역시 서구 암남동(2614068000)","17,514","8,557","          2.05","8,443","9,071","          0.93"
"부산광역시 동구 (2617000000)","83,115","46,290","          1.80","40,416","42,699","          0.95"
"부산광역시 동구 초량제1동(2617051000)","4,784","3,193","          1.50","2,420","2,364","          1.02"
"부산광역시 동구 초량제2동(2617052000)","4,862","3,117","          1.56","2,436","2,426","          1.00"
"부산광역시 동구 초량제3동(2617053000)","13,033","6,704","          1.94","6,232","6,801","          0.92"
"부산광역시 동구 초량제6동(2617055000)","4,758","2,735","          1.74","2,300","2,458","          0.94"
"부산광역시 동구 수정제1동(2617056000)","3,949","2,197","          1.80","1,950","1,999","          0.98"
"부산광역시 동구 수정제2동(2617057000)","8,486","4,675","          1.82","4,005","4,481","          0.89"
"부산광역시 동구 수정제4동(2617059000)","3,202","1,936","          1.65","1,575","1,627","          0.97"
"부산광역시 동구 수정제5동(2617060000)","4,368","2,481","          1.76","2,094","2,274","          0.92"
"부산광역시 동구 좌천동(2617064500)","10,537","5,602","          1.88","5,041","5,496","          0.92"
"부산광역시 동구 범일제1동(2617065000)","10,068","5,885","          1.71","4,885","5,183","          0.94"
"부산광역시 동구 범일제2동(2617066000)","6,085","3,617","          1.68","3,057","3,028","          1.01"
"부산광역시 동구 범일제5동(2617068000)","8,983","4,148","          2.17","4,421","4,562","          0.97"
"부산광역시 영도구 (2620000000)","100,170","53,125","          1.89","49,135","51,035","          0.96"
"부산광역시 영도구 남항동(2620053000)","9,722","5,511","          1.76","4,841","4,881","          0.99"
"부산광역시 영도구 영선제1동(2620054000)","3,510","1,780","          1.97","1,666","1,844","          0.90"
"부산광역시 영도구 영선제2동(2620055000)","6,878","3,396","          2.03","3,323","3,555","          0.93"
"부산광역시 영도구 신선동(2620058500)","6,336","3,811","          1.66","3,116","3,220","          0.97"
"부산광역시 영도구 봉래제1동(2620059000)","6,314","3,414","          1.85","3,102","3,212","          0.97"
"부산광역시 영도구 봉래제2동(2620060500)","6,866","3,364","          2.04","3,331","3,535","          0.94"
