의료기관명,의료기관주소(도로명),위도,경도,전화번호,관리기관명,데이터기준일자
구리시보건소,"경기도 구리시 건원대로34번길 84 (인창동, 구리보건소)",37.604747,127.14507,031-550-8987,경기도 구리시청,2026-03-11
구리시수택건강생활지원센터,경기도 구리시 체육관로 74 (수택동),37.591473,127.13862,031-550-2464,경기도 구리시청,2026-03-11
구리시갈매건강생활지원센터,경기도 구리시 갈매중앙로 80(갈매동),37.63148,127.117627,031-550-2562,경기도 구리시청,2026-03-11
