구분명,시설명,소재지도로명주소,소재지지번주소,진료과목,전화번호,데이터기준일자
보건소,상록수보건소,경기도 안산시 상록구 차돌배기로1길 5 (사동),경기도 안산시 상록구 사동 1584,"일반,한방,치과",1666-1234,2026-01-28
보건소,단원보건소,경기도 안산시 단원구 화랑로 250(초지동),경기도 안산시 단원구 초지동 666-8,"일반,치과,한방",1666-1234,2026-01-28
보건지소,수암보건지소,경기도 안산시 상록구 원당골1길 23-3 (수암동),경기도 안산시 상록구 수암동 467-3,"내과,한방",031-481-5889,2026-01-28
보건지소,대부보건지소,안산시 단원구 대부중앙로 77(대부북동),경기도 안산시 단원구 대부북동 303,"치과,한방",031-481-2560,2026-01-28
보건지소,원곡보건지소,"경기도 안산시 단원구 부부로 43, 3층(원곡동)",경기도 안산시 단원구 원곡동 991-1 3층,"한방,치과(2,4째주 화요일)",031-481-6830,2026-01-28
진료소,안산시남동보건진료소,경기도 안산시 단원구 비룰길 7(대부남동) ,경기도 안산시 단원구 대부남동 1071-8,1차진료,031-481-2558,2026-01-28
진료소,풍도보건진료소,경기도 안산시 단원구 풍도2길 4(풍도동),경기도 안산시 단원구 풍도동 244,1차진료,032-858-9290,2026-01-28
건강생활지원센터,안산서부건강생활지원센터,경기도 안산시 단원구 신길중앙로 15(신길동),경기도 안산시 단원구 신길동 1384-19,,031-481-6463,2026-01-28
건강생활지원센터,반월건강생활지원센터,경기도 안산시 상록구 건건동 건건로 119-4 (건건동),경기도 안산시 상록구 건건동 535-15,,031-481-3767,2026-01-28
