municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at
41130,41130::ambulance_base::001,41130::hospital::001,21.533333333333335,1292,10967,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:21.016338+00:00
41130,41130::ambulance_base::001,41130::hospital::002,32.55,1953,16748,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:21.433010+00:00
41130,41130::ambulance_base::001,41130::hospital::003,20.183333333333334,1211,10516,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:21.806459+00:00
41130,41130::ambulance_base::001,41130::hospital::004,19.3,1158,6839,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:22.161721+00:00
41130,41130::ambulance_base::001,41130::hospital::005,12.733333333333333,764,3504,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:22.495621+00:00
41130,41130::ambulance_base::001,41130::hospital::006,12.933333333333334,776,4790,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:22.807194+00:00
41130,41130::ambulance_base::002,41130::hospital::001,17.266666666666666,1036,9451,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:23.200768+00:00
41130,41130::ambulance_base::002,41130::hospital::002,30.566666666666666,1834,12871,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:23.697133+00:00
41130,41130::ambulance_base::002,41130::hospital::003,19.716666666666665,1183,8338,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:24.048441+00:00
41130,41130::ambulance_base::002,41130::hospital::004,16.066666666666666,964,5917,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:24.414147+00:00
41130,41130::ambulance_base::002,41130::hospital::005,15.633333333333333,938,4645,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:24.811346+00:00
41130,41130::ambulance_base::002,41130::hospital::006,17.35,1041,6283,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:25.168942+00:00
41130,41130::ambulance_base::003,41130::hospital::001,13.783333333333333,827,7460,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:25.569218+00:00
41130,41130::ambulance_base::003,41130::hospital::002,26.05,1563,10880,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:26.036370+00:00
41130,41130::ambulance_base::003,41130::hospital::003,14.433333333333334,866,6067,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:26.385859+00:00
41130,41130::ambulance_base::003,41130::hospital::004,9.316666666666666,559,3345,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:26.706331+00:00
41130,41130::ambulance_base::003,41130::hospital::005,11.233333333333333,674,2444,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:27.110323+00:00
41130,41130::ambulance_base::003,41130::hospital::006,8.0,480,2036,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:27.413206+00:00
41130,41130::ambulance_base::004,41130::hospital::001,18.866666666666667,1132,9492,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:27.779542+00:00
41130,41130::ambulance_base::004,41130::hospital::002,26.216666666666665,1573,14503,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:28.225175+00:00
41130,41130::ambulance_base::004,41130::hospital::003,14.0,840,8271,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:45:28.600551+00:00
