hospital_name,emergency_category,phone,road_address,lot_address,postal_code,latitude,longitude,coordinate_source,matched_address,municipality_code,routing_status,hira_hospital_name,hira_encrypted_care_symbol,hira_institution_type,capacity_snapshot_period,emergency_room_beds,critical_care_beds,inpatient_beds,registered_emergency_institution,registered_adult_icu,ct_units,mri_units,capacity_match_method,capacity_match_score,capacity_match_review_required,capacity_source,capacity_semantics,egen_institution_code,egen_evaluation_year,egen_overall_grade,egen_mandatory_area_result,egen_match_review_required,egen_evaluation_source
가톨릭대부천성모병원,지역응급의료센터,1577-0675,경기도 부천시 원미구 소사로 327,경기도 부천시 원미구 소사동 2번지,14647,37.4874980000,126.7930296000,official_gyeonggi_emergency_medical_institutions,경기도 부천시 원미구 소사로 327,41190,pending_kakao_api,가톨릭대학교부천성모병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,종합병원,2026-06,37,60,625,True,True,4,3,fuzzy_name_address,0.95,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100052,2024,A,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
다니엘종합병원,지역응급의료기관,032-670-0001,경기도 부천시 원미구 중동로 361,경기도 부천시 원미구 약대동 138-7번지,14513,37.5123311000,126.7694862000,official_gyeonggi_emergency_medical_institutions,경기도 부천시 원미구 중동로 361,41190,pending_kakao_api,의료법인대인의료재단 다니엘종합병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNjEjJDEjJDgjJDgz,종합병원,2026-06,10,31,200,True,True,1,1,fuzzy_name_address,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100050,2024,B,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
부천세종병원,지역응급의료센터,1599-6677,경기도 부천시 소사구 호현로489번길 28,경기도 부천시 소사구 소사본동 91-121번지,14754,37.4810423000,126.7911902000,official_gyeonggi_emergency_medical_institutions,경기도 부천시 소사구 호현로489번길 28,41190,pending_kakao_api,부천세종병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,종합병원,2026-06,20,24,300,True,True,2,1,exact_normalized_name,1.0,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100055,2024,B,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
순천향대부속부천병원,권역응급의료센터,032-621-5114,경기도 부천시 원미구 조마루로 170,경기도 부천시 원미구 중동 1174번지,14584,37.4983685000,126.7621105000,official_gyeonggi_emergency_medical_institutions,경기도 부천시 원미구 조마루로 170,41190,pending_kakao_api,순천향대학교부속부천병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz,상급종합,2026-06,34,108,822,True,True,5,3,fuzzy_name_address,0.95,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100005,2024,A,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
