municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at
41220,41220::ambulance_base::009,41220::hospital::004,21.0,1260,9816,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:54.894345+00:00
41220,41220::ambulance_base::010,41220::hospital::001,32.833333333333336,1970,14677,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:55.270588+00:00
41220,41220::ambulance_base::010,41220::hospital::002,18.283333333333335,1097,9589,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:55.637891+00:00
41220,41220::ambulance_base::010,41220::hospital::003,34.166666666666664,2050,14556,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:56.053619+00:00
41220,41220::ambulance_base::010,41220::hospital::004,26.816666666666666,1609,14428,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:56.464034+00:00
41220,41220::ambulance_base::011,41220::hospital::001,37.05,2223,22056,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:56.862591+00:00
41220,41220::ambulance_base::011,41220::hospital::002,28.45,1707,13028,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:57.207823+00:00
41220,41220::ambulance_base::011,41220::hospital::003,35.2,2112,24195,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:57.661896+00:00
41220,41220::ambulance_base::011,41220::hospital::004,28.75,1725,21709,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:58.030460+00:00
41220,41220::ambulance_base::012,41220::hospital::001,43.63333333333333,2618,17782,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:58.463327+00:00
41220,41220::ambulance_base::012,41220::hospital::002,20.583333333333332,1235,8945,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:58.802656+00:00
41220,41220::ambulance_base::012,41220::hospital::003,39.65,2379,16602,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:59.305561+00:00
41220,41220::ambulance_base::012,41220::hospital::004,30.3,1818,13250,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:59.700921+00:00
41220,41220::hospital::001,41220::ambulance_base::001,3.8,228,703,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:00.011425+00:00
41220,41220::hospital::001,41220::ambulance_base::002,33.45,2007,22130,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:00.444809+00:00
41220,41220::hospital::001,41220::ambulance_base::003,11.45,687,7442,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:00.797310+00:00
41220,41220::hospital::001,41220::ambulance_base::004,41.68333333333333,2501,37058,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:01.281293+00:00
41220,41220::hospital::001,41220::ambulance_base::005,7.766666666666667,466,3521,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:01.590345+00:00
41220,41220::hospital::001,41220::ambulance_base::006,12.6,756,4396,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:01.920593+00:00
41220,41220::hospital::001,41220::ambulance_base::007,24.933333333333334,1496,15667,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:02.297435+00:00
41220,41220::hospital::001,41220::ambulance_base::008,19.133333333333333,1148,8461,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:02.658896+00:00
41220,41220::hospital::001,41220::ambulance_base::009,31.133333333333333,1868,14598,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:03.033004+00:00
41220,41220::hospital::001,41220::ambulance_base::010,34.766666666666666,2086,15197,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:03.437417+00:00
41220,41220::hospital::001,41220::ambulance_base::011,32.5,1950,22165,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:03.837995+00:00
41220,41220::hospital::001,41220::ambulance_base::012,37.18333333333333,2231,18457,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:04.331970+00:00
41220,41220::hospital::001,41220::hospital::002,23.166666666666668,1390,9983,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:04.684804+00:00
41220,41220::hospital::001,41220::hospital::003,9.183333333333334,551,3508,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:04.991062+00:00
41220,41220::hospital::001,41220::hospital::004,15.25,915,5673,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:05.320973+00:00
41220,41220::hospital::002,41220::ambulance_base::001,19.866666666666667,1192,9499,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:05.665833+00:00
41220,41220::hospital::002,41220::ambulance_base::002,32.0,1920,18687,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:06.060143+00:00
41220,41220::hospital::002,41220::ambulance_base::003,20.116666666666667,1207,14447,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:06.419426+00:00
41220,41220::hospital::002,41220::ambulance_base::004,38.43333333333333,2306,30826,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:06.832108+00:00
41220,41220::hospital::002,41220::ambulance_base::005,20.95,1257,7807,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:07.208210+00:00
41220,41220::hospital::002,41220::ambulance_base::006,13.983333333333333,839,6476,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:07.556086+00:00
41220,41220::hospital::002,41220::ambulance_base::007,14.916666666666666,895,6068,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:07.870705+00:00
41220,41220::hospital::002,41220::ambulance_base::008,5.483333333333333,329,2404,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:08.196752+00:00
41220,41220::hospital::002,41220::ambulance_base::009,10.2,612,5451,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:08.557064+00:00
41220,41220::hospital::002,41220::ambulance_base::010,16.816666666666666,1009,9932,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:09.308671+00:00
41220,41220::hospital::002,41220::ambulance_base::011,27.95,1677,13051,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:09.727134+00:00
41220,41220::hospital::002,41220::ambulance_base::012,17.116666666666667,1027,9310,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:10.087691+00:00
