category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,기타(조리원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(주간보호센터 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(주간요양센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(주민센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(주차장내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(중앙침례교회 버스앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(중앙침례교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(중흥에스클래스 게이트 2번 왼쪽 계단),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지동성당),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지역난방공사),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하주차장 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하철 승강장 5-1),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하철 역무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하철),1,0.0013,0.0017
relif_occurplc_type_raw,기타(지하철역 플랫폼),1,0.0013,0.0017
relif_occurplc_type_raw,기타(직업재활센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(직장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(집앞 주차장 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(차 내부),1,0.0013,0.0017
relif_occurplc_type_raw,기타(차),1,0.0013,0.0017
relif_occurplc_type_raw,기타(차량 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(차량내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(차량수리),1,0.0013,0.0017
relif_occurplc_type_raw,기타(차량안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(창고),1,0.0013,0.0017
relif_occurplc_type_raw,기타(창룡문지구대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(천변 산책로),1,0.0013,0.0017
relif_occurplc_type_raw,기타(철도경찰사무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(초등학교 앞 인도),1,0.0013,0.0017
relif_occurplc_type_raw,기타(출입국외국인청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(컨벤션센터 행사장 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(태안지구대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(태장파출소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(택시 안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(택시),1,0.0013,0.0017
relif_occurplc_type_raw,기타(택시안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(파장 파출소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(파장119안전센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(파장센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(파출소내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(팔달노인복지관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(팔달문로 경찰서 형사과),1,0.0013,0.0017
relif_occurplc_type_raw,기타(편의점 앞 인도),1,0.0013,0.0017
relif_occurplc_type_raw,기타(평생학습관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(평안교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(폐차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(하천 길),1,0.0013,0.0017
relif_occurplc_type_raw,기타(한미연합교회 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(한전전우회 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(행궁파출소 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(행정복지센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(현아할인마트 잎),1,0.0013,0.0017
relif_occurplc_type_raw,"기타(호매실, 고색, 서둔 119안전센터)",1,0.0013,0.0017
relif_occurplc_type_raw,기타(호수공원 인도),1,0.0013,0.0017
relif_occurplc_type_raw,기타(홈플러스 입구),1,0.0013,0.0017
relif_occurplc_type_raw,기타(화목교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(화서동교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(화서역),1,0.0013,0.0017
relif_occurplc_type_raw,기타(횡단보도),1,0.0013,0.0017
relif_occurplc_type_raw,기타(휴게소),1,0.0013,0.0017
relif_occurplc_type_raw,도로(202번 시내버스),1,0.0013,0.0017
relif_occurplc_type_raw,도로(92-1버스 안),1,0.0013,0.0017
relif_occurplc_type_raw,도로(경기도 수원시 팔달구 우만동 중부대로143번길 39-0 ),1,0.0013,0.0017
relif_occurplc_type_raw,도로(고등동 행정복지센터 부근),1,0.0013,0.0017
relif_occurplc_type_raw,도로(도로상),1,0.0013,0.0017
relif_occurplc_type_raw,도로(버스 안),1,0.0013,0.0017
relif_occurplc_type_raw,도로(버스),1,0.0013,0.0017
relif_occurplc_type_raw,도로(버스안),1,0.0013,0.0017
relif_occurplc_type_raw,도로(상가 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로(선일초등학교 버스정류장 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로(집앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로(차 안),1,0.0013,0.0017
relif_occurplc_type_raw,도로(차량안),1,0.0013,0.0017
relif_occurplc_type_raw,도로(최강병원앞 황단보도),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(gps값),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(경기도 수원시 팔달구 인계동  수원 xi 모텔 앞 ),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(남문 다이소 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(노보텔 호텔 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(도로 옆 공원),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(도룡마을 버스정류장),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(매산지구대 옆),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(백성병원 정문 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(버스정류장 주변),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(생활도로),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(성균관대역 대합실),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(세류초 인근),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(수원센트럴아이파크 113동 앞 하천),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(수원시청역사 내),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(수원역사 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(시장내 길),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(신곡초등학교 후문),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(아파트 단지내),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(아파트단지 내),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(유성관광호텔 앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(주차장),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(지하철 역사),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(진리의성령교회 앞 인도),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(차 안),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(택시 승강장),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(포차의 달인앞 ),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(허리우드건물 1층 대기),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(화서동 175-6 새시대약국앞),1,0.0013,0.0017
relif_occurplc_type_raw,도로외교통지역(횡단보도앞),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(광교산 ),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(광교산 노루목 인근),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(광교호수공원 산책로),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(농막),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(팔달산 산책로),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(팔달산),1,0.0013,0.0017
relif_occurplc_type_raw,바다/강/산/논밭(하천 옆),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(골프장),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(광교 롯데아울렛 지하 2층 화물용승강기),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(굿데이카페),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(기아 오토큐),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(낙지한마리수제비),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(농협),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(농협은행),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(뉴M모텔),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(대한빌딩 엘레베이터),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(더리터커피),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(도이치오토월드),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(두레모텔 206호),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(디지털엠파이어2),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(라마다호텔 ),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(린스7080),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(마트),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(메가박스 ),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(모카노래방),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(목욕탕),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(바우네 나주곰탕),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(사딸라룸포차 건물1층 ),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(서울제빵소),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(성모퍼스트내과),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(세탁소),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(송담추어탕),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(수원역 ),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(수원역),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(스위스모텔),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(스파렉스사우나),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(신협 앞),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(아리랑노래방),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(아웃백),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(약국),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(엄마밥상),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(여관),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(연예인7080),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(옥이포차),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(온수골온천 여탕),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(온수골온천5층),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(요양원),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(유성호텔 본관 4층),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(음식점),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(이너프 카페),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(이안서가),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(자매전집),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(좋은친구들),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(중국집),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(중식당),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(지하1층 다이소),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(진미통닭 앞),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(찜질방 ),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(차공업소),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(축제노래연습장),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(캠핑장),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(코리안바베큐 내부),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(킹노래연습장),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(타임빌라스 1층 화장실),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(태영생막창),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(테마모텔),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(토기장이오리삼겹살전문점),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(한신우동),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(항아리보쌈),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(행운식당),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(현대 보석 불가마 사우나),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(홍익스포츠 스파),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(홍익스포츠사우나 ),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(화홍문갈비),1,0.0013,0.0017
relif_occurplc_type_raw,상업시설(효행요양원),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(고순대 제1지구대),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(공원 화장실),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(광교복합체육센터),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(광교호수공원),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(권선119안전센터),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(노인복지관),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(노인정),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(놀이터),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(누림센터2층),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(동부파출소 ),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(만석공원둘레길),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(목욕탕),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(바운스슈퍼파크),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(사랑방주간보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(서광교회),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(서부경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(성당),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(세류지구대),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(수원 미디어센터 ),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(수원남부경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(순종교회),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(연무지구대 ),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(연무지구대),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(운동장),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(유천 파출소),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(유천파출소),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(인계 경찰서 ),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(장안공원 남자화장실),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(주간보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(팔달경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(팔달복지관),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(한국자산관리공사),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(행궁파출소 ),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(호매실지구대),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(홈런야구장),1,0.0013,0.0017
relif_occurplc_type_raw,오락/문화시설(화서문지구대 ),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(그래비티),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(수원월드컵경기장),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(스포츠아일랜드),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(운동장),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(월드컵경기장 풋살장),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(장안공원),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(족구장),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(축구장),1,0.0013,0.0017
relif_occurplc_type_raw,운동시설(풋살장),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(365힐링의원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(4층 헌혈의집),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(김찬병원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(동수원 응급실 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(동수원병원 앞),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(동수원병원 응급실 앞),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(동수원병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(동수원응급실),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(바로준내과 2층 투석실),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(백병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(베스트소아과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(베스트손내과 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(보훈원요양센터),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(빈센트 병원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(빈센트 병원 앞),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(빈센트),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(빈센트병원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(빈센트병원 앞),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(삼성메디칼의원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(삼성안과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(성모척관병원 3층),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(성빈센트병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(수병원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(수병원 1층),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(수병원 3층 입원실),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(수원성빈센트병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(수원의료원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(수원제일산무인과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(아주대병원 앞),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(연세가정의원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(연세모아요양병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(연세비엠정형외과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(요양병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(윌내과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(윌스기념병원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(윌스기념병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(이춘택병원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(이한한방병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(인내과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(정형외과 진료실),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(참사랑의원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(치과),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(푸른연세신경외과 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(하나병원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(하나의원 옥상),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(하모니정신건강의학과의원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(한결내과의원),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(한상길내과의원 ),1,0.0013,0.0017
relif_occurplc_type_raw,의료관련시설(효요양병원),1,0.0013,0.0017
relif_occurplc_type_raw,집( 유당마을 실버타운),1,0.0013,0.0017
relif_occurplc_type_raw,집(102동 앞),1,0.0013,0.0017
relif_occurplc_type_raw,집(1163813),1,0.0013,0.0017
relif_occurplc_type_raw,집(206호),1,0.0013,0.0017
relif_occurplc_type_raw,집(건우빌라 302호),1,0.0013,0.0017
relif_occurplc_type_raw,집(경기도 수원시 영통구 이의동 1351),1,0.0013,0.0017
relif_occurplc_type_raw,집(경찰공동대응),1,0.0013,0.0017
relif_occurplc_type_raw,집(네오빌 401호),1,0.0013,0.0017
relif_occurplc_type_raw,집(대한대우107동 601호),1,0.0013,0.0017
relif_occurplc_type_raw,집(망포역 아이파크 101동 1층),1,0.0013,0.0017
relif_occurplc_type_raw,집(매교역 sk뷰 137동 1층 로비),1,0.0013,0.0017
relif_occurplc_type_raw,집(모),1,0.0013,0.0017
relif_occurplc_type_raw,집(문 앞 계단),1,0.0013,0.0017
relif_occurplc_type_raw,집(서그내마을SK아파트 107동 806호),1,0.0013,0.0017
relif_occurplc_type_raw,집(센트럴빌 305호),1,0.0013,0.0017
relif_occurplc_type_raw,집(수원센트럴 127동 1101호),1,0.0013,0.0017
relif_occurplc_type_raw,집(신동아아파트 113동1405호),1,0.0013,0.0017
relif_occurplc_type_raw,집(실외기 부분),1,0.0013,0.0017
relif_occurplc_type_raw,집(아파트 내 지하주차장),1,0.0013,0.0017
relif_occurplc_type_raw,집(아파트 단지 내 놀이터),1,0.0013,0.0017
relif_occurplc_type_raw,집(아파트 단지내),1,0.0013,0.0017
relif_occurplc_type_raw,집(아파트 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,집(이안@ 107동 604호),1,0.0013,0.0017
relif_occurplc_type_raw,집(지하3층 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,집(현대@ 104-101),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(vip실버케어요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(가람실버요양원 ),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(경로당),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(골든네스트요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(꿈터),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(노블카운티너싱홈),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(늘봄실버밸리),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(다시서기),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(다온요양원 3층),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(동수원실버빌),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(두손노인전문요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(두손요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(라온팰리스요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(마실주간보호센터),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(모텔),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(미래노인요양원 4층),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(미래요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(민들레요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(보훈요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(봄날요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(봄빛요양센터),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(북문고시원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(산후조리원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(새미래요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(샤워실),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(세진브론즈빌),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(수원vip실버케어요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(수원어르신간호센터),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(스텔라실버요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(실버타운),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(아노가 요양원 3층 ),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(어린이집),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(영통요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(요앙원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(은진레지던스 고시원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(재활플러스요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(지하주차장),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(채움요양원 2층),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(청담요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(청솔 고시원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(청운고시텔),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(팔달고시원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(하나재활요양원3층),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(해피하우스요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(행궁요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(행복꽃요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(행복한요양원),1,0.0013,0.0017
relif_occurplc_type_raw,집단거주시설(힘찬요양원),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(mbc아카데미학원),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(경기대 ),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(경기대),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(경희대 외국어대학관),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(교육청),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(기숙사),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(능실중학교 체육관),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(능실중학교),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(동성중학교),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(망포고등학교),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(망포초등학교),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(매산초등학교),1,0.0013,0.0017
relif_occurplc_type_raw,학교/교육시설(보건실),1,0.0013,0.0017
