category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,기타(율천파출소),4,0.0052,0.0069
relif_occurplc_type_raw,기타(인계지구대),4,0.0052,0.0069
relif_occurplc_type_raw,기타(차안),4,0.0052,0.0069
relif_occurplc_type_raw,기타(행궁파출소),4,0.0052,0.0069
relif_occurplc_type_raw,기타(화서문지구대),4,0.0052,0.0069
relif_occurplc_type_raw,기타(회사),4,0.0052,0.0069
relif_occurplc_type_raw,도로외교통지역(수원역),4,0.0052,0.0069
relif_occurplc_type_raw,바다/강/산/논밭(광교산),4,0.0052,0.0069
relif_occurplc_type_raw,기타(경기도청),3,0.0039,0.0051
relif_occurplc_type_raw,기타(고물상),3,0.0039,0.0051
relif_occurplc_type_raw,기타(관리사무소),3,0.0039,0.0051
relif_occurplc_type_raw,기타(광교지구대),3,0.0039,0.0051
relif_occurplc_type_raw,기타(광교호수공원),3,0.0039,0.0051
relif_occurplc_type_raw,기타(권선파출소),3,0.0039,0.0051
relif_occurplc_type_raw,기타(놀이터),3,0.0039,0.0051
relif_occurplc_type_raw,기타(매산119안전센터),3,0.0039,0.0051
relif_occurplc_type_raw,기타(버스 안),3,0.0039,0.0051
relif_occurplc_type_raw,기타(버스안),3,0.0039,0.0051
relif_occurplc_type_raw,기타(세류지구대),3,0.0039,0.0051
relif_occurplc_type_raw,기타(수원남부경찰서 ),3,0.0039,0.0051
relif_occurplc_type_raw,기타(은행),3,0.0039,0.0051
relif_occurplc_type_raw,기타(장안지구대),3,0.0039,0.0051
relif_occurplc_type_raw,기타(절),3,0.0039,0.0051
relif_occurplc_type_raw,기타(정자119안전센터),3,0.0039,0.0051
relif_occurplc_type_raw,기타(주차장),3,0.0039,0.0051
relif_occurplc_type_raw,기타(중부경찰서),3,0.0039,0.0051
relif_occurplc_type_raw,기타(차 안),3,0.0039,0.0051
relif_occurplc_type_raw,기타(파출소),3,0.0039,0.0051
relif_occurplc_type_raw,도로외교통지역(골목),3,0.0039,0.0051
relif_occurplc_type_raw,오락/문화시설(공원),3,0.0039,0.0051
relif_occurplc_type_raw,오락/문화시설(창룡문지구대),3,0.0039,0.0051
