hospital_name,emergency_category,phone,road_address,lot_address,postal_code,latitude,longitude,coordinate_source,matched_address,municipality_code,routing_status,hira_hospital_name,hira_encrypted_care_symbol,hira_institution_type,capacity_snapshot_period,emergency_room_beds,critical_care_beds,inpatient_beds,registered_emergency_institution,registered_adult_icu,ct_units,mri_units,capacity_match_method,capacity_match_score,capacity_match_review_required,capacity_source,capacity_semantics,egen_institution_code,egen_evaluation_year,egen_overall_grade,egen_mandatory_area_result,egen_match_review_required,egen_evaluation_source
원광종합병원,지역응급의료기관,8077-7200,경기도 화성시 화산북로 21,경기도 화성시 송산동 200-4번지,18356,37.2100622000,127.0080299000,official_gyeonggi_emergency_medical_institutions,경기도 화성시 화산북로 21,41590,pending_kakao_api,의료법인 원광의료재단 원광종합병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEwMDIjNjEjJDEjJDgjJDgz,종합병원,2026-06,10,16,263,True,True,1,1,fuzzy_name_address,0.91,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2115699,2024,C,FAIL,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
한림대동탄성심병원,지역응급의료센터,8086-3000,경기도 화성시 큰재봉길 7,경기도 화성시 석우동 40번지,18450,37.2164957000,127.0799416000,official_gyeonggi_emergency_medical_institutions,경기도 화성시 큰재봉길 7,41590,pending_kakao_api,한림대학교동탄성심병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,종합병원,2026-06,44,87,761,True,True,5,3,fuzzy_name_address,0.848571,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100046,2024,A,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
화성중앙종합병원,지역응급의료기관,352-8114,경기도 화성시 향남읍 발안로 5,경기도 화성시 향남읍 평리 74-1번지,18592,37.1313495000,126.9107734000,official_gyeonggi_emergency_medical_institutions,경기도 화성시 향남읍 발안로 5,41590,pending_kakao_api,의료법인 은혜와감사의료재단 화성중앙종합병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE4MzIjNzEjJDEjJDgjJDgz,종합병원,2026-06,10,8,139,True,True,1,1,fuzzy_name_address,0.915625,False,https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925,HIRA static facility snapshot; not real-time availability,A2100018,2024,C,PASS,False,https://www.e-gen.or.kr/nemc/business_medical_institution_evaluation.do?tabId=9
